dataset,journal,year,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readme,analysisPgrm,analysisCode,codeArchived,complScore,reuseScore,suppMat,notes
1,Evolution,2012,0,meas/obs,table,5,.csv,1,1,not specified,NA,0,2,5,0,"The readme file is complete (for the data that are archived). All the data for the mutant and phenotypic frequency of the six populations (brown, sepia, plexus, yellow, white, forked) are archived.  Data are not archived for the male choice persistence assays (Fig 3): A total of seven observations were made for each of 200 vials per trial, with 50 replicates for each of the four combinations of male and female type. Data not archived for the  experiment testing for the confounding effect of food colour."
2,The American Naturalist,2012,0,meas/obs,table,1,.xlsx,0,0,not specified,NA,0,4,2,0,"An explanation for the column headings is provided in the Dryad description box but some abbreviations are not clearly specified and the units are not presented. The data are clearly organized in 4 tabs. All the data for the analyses are present but dates are archived in the wrong format in the .xlsx file - the text is unintelligble. Means are presented for the 72 litters (these are the numbers used in the analyses), not the measurements on the 1,066 individual neonates (i.e. the raw data)."
3,Evolution,2012,0,meas/obs,table,4,.txt,1,0,"R, JMP and others",1,0,3,1,0,"The metadata in the Dryad description box are detailed. There are only minor issues: units of measurements (e.g. for length) are not provided, some abbreviations are not explained (e.g. CVA) and column headings are inconsistent between text files (e.g., trt, treatment and CUE all indicate the experimental treatment [presence or absence of predator cues]). The covariate 'centroid size' used in the MANCOVA is not archived. To a reader that is not familiar with the analyses, it is unclear shape whether the ""matrix of aligned landmarks coordinates"" used in the MANCOVA corresponds exactly to the format in which the Procrustes coordinates are archived. Raw data: the morphological measurements of head morphology and the absolute numbers used to calculate the proportion of fish at the surface are not archived."
4,Evolution,2012,0,meas/obs,table,2,.txt,1,1,R; PERMANOVA,1,0,5,5,0,Excellent readme files. All the raw data for the analyses and figures are adequately archived. 'Nonpolarity' calculations described in the paper and 'SumPiRti' are archived in the .txt file.
5,Evolution,2012,0,meas/obs/simulations,table,4,.xls,0,0,R,1,0,1,1,0,"There is no readme file or data description in Dryad. The archived data are very poorly organized in Excel spreadsheets; some are unintelligible because there is no associated metadata, making it difficult to assess completeness. The models are explained in the appendix but the outputs are not archived (i.e. no data for Fig 1, Fig 2, Fig 3)."
6,Evolutionary Applications,2012,0,meas/obs/gen,table,2,".txt, .xls",0,0,R,1,0,2,3,0,"There is no readme or description of the content in the Dryad box for the file 'EVA-2012-039-OA.R1_dataset2_Jmating.txt'. The column headings are very clearly explained  within the excel file for 'EVA-2012-039-OA.R1_dataset1_Hybridization.xls'. Several of the variables for the analyses and the figures (Fig 1, Fig 2, Fig 5, Table 2, Table 3) are missing (COI genetic matrix; IPSI, IAPSI, and W; pairwise genetic distances; phenotypic distances)."
7,Journal of Evolutionary Biology,2012,0,meas/obs,table,2,.csv,1,1,R,1,0,3,3,0,"The data are organized by experiment (1 and 2) and column headers and units are explained in the readme file or the Dryad description box. There are inconsistencies between sample sizes in the paper and in the archived data (e.g., 3 values for copulation duration are in excess, there was a total of 124 successful matings across all lines but there are only 121 rows in the data file for experiment 1; Posthatching.Viability (proportion of hatched offspring that successfully eclose as adults) 31 proportions are > 1 in the data, which is more than the 7 stated in the paper; the format for duration measurements are different in the two files despite specification that units are the same. Raw data missing: Development time is an average for each mating measured in days."
8,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.txt,1,1,"R, PASW",1,0,5,5,0,The readme file is clear and straightforward. Simple experiment - all the variables are archived. Adjusted values (mating frequency and paternity divided by the number of females present in each cage) are provided but not the raw data (N.B. raw data are not of high importance for reusability in this case) .
9,Evolution,2012,0,meas/obs/gen,table,6,.txt,1,1,R,1,0,5,4,1,"All data archived and well organized; excellent readme files for all six tables (.txt) archived. Relatedness (microsatellite genotyping) data are available as supplementary material (Tables A1, A2, A3) on the Evolution website."
10,The American Naturalist,2012,0,meas/obs,table,4,.txt,1,0,R,1,0,1,1,0,"There is insufficient information in the data description boxes; several column headings are not explained and units are not specified. Some of the data are incomprehensible (e.g. date, time of day). It is extremely difficult if not impossible to identify what the archived data corresponds to in the paper; which data were used for which analyses (e.g. path analysis)? Several variables appear to be missing from the field data file: wing area and femur length (what does size correspond to?); number of spermatophores;  oviposition; initial female egg load. Discovered from reading the methods that the field variables are archived only in standardized format (see p 467 in the paper). What do the headings mean in host quality.txt? (fresh1, fresh2, height 1,height 2, …). Raw data are missing for ID of host plant species."
11,Evolution,2012,0,meas/obs,table,1,.xlsx,0,1,R,1,0,5,4,0,The readme file is informative and all the data are archived but in Excel format.
12,Evolution,2012,0,meas/obs,table,2,.xml,1,1,JMP; R,1,0,5,5,0,"The readme files are excellent. The data are identified for individual analyses, table and figures. All column headers and units are clearly spelled out. All the data for the analyses are archived."
13,The American Naturalist,2012,1,meas/obs,table,1,.xls,0,0,MATLAB; SPSS,1,0,2,2,0,"The metadata in the Dryad description box are incomplete but some details are included directly in the Excel spreadhseet (treatments are not defined and there are typos in the spreadsheet column headers). The data can be understood from reading the paper. The data are organized by figure in the spreadsheet, making it easy to identify which part of the study they are associated with. Some of the data archived are mean values. Data for some analyses are not provided; it is impossible to reproduce the analyses for Fig 2, 3, 6, 7."
14,Evolution,2012,0,meas/obs,table,1,.xlsx,0,0,not specified,1,0,3,3,0,"The metadata in the Dryad description box are limited; ""replicate of fitness estimate"" and  ""Final Titer Ancestral Strain"" are not clearly explained. Otherwise, the data are simple and fairly straighforward. Data are archived for 30 combinations of strain*treatment (this must correspond to 'experimental flask' in the paper) but 33 experimental flasks are mentioned in the paper's methods. Are the three missing flasks the controls? 'The remaining three flasks received no migrants to confirm that populations were indeed experiencing sink conditions. These populations were expected to go extinct.' These data are missing. Two combinations of strain*treatment have 4 instead of 3 replicates - the metadata do not explain why and how these data were handled. Data from simulations in the supplementary material are not archived."
15,Nature,2012,1,meas/obs,table,3,.pdf,0,1,R; RAxML,1,0,2,2,0,"The metadata in the Dryad description box are limited but sufficient to make sense of the archived pdf tables. The environmental, lineage trait and time since divergence data (in table format) are archived as pdfs in Dryad. Sequence data are deposited in the GenBank database under accession numbers listed in Supplementary Table 1. However, the alignments and phylogenetic trees are not archived in a computer readable format. Phylogenetic data were used in the regression to assess the relationship between each predictor variable and cichlid diversification state. GenBank accession numbers for multiple genes are provided as a 7 page .pdf table in the supplementary information. "
16,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.txt,1,1,R,1,0,5,5,0,The metadata are informative (column headings and units are specified in the readme file). All the data for the analyses are archived.
17,Journal of Evolutionary Biology,2012,0,meas/obs/gen,table,4,.xls/unknown,0,0,R,1,0,2,1,1,"Metadata in Dryad description box and in some spreadsheets is often insufficient to make sense of the data archived (some columns have no headings [ first dryad.xls file], some column headings are not explained, units are also not provided [body length]). The file 'April113' is of unknown format; no file extension - could not open to assess completeness. Second file also called 'dryad.xls': rows are not identified or specified in the description. Year is missing from 'distancesfromlandmarks_dryad.xls', which prevents repeating the analysis to test for differences in gill raker count between years. What is ""Original PAST number""? Horn’s index (Ro) to evaluate the extent of diet overlap between ecotypes is not archived in the file with proportional diet contents. FST is not archived.  Sex is not archived: this prevents repeating the analysis to test for significant sexual dimorphism in gill raker counts: 'In no case, however, was there significant sexual dimorphism in gill raker counts (t10–32 =  0.2 to  0.6, minimum P > 0.50)'. New sequences from this study are deposited in GENBANK and accession numbers are given in the paper. Some data (microsatellite variation and alignments) archived as a word document in the supplementary material on the JEB website (Table S1 and S2)."
18,Evolution,2012,0,meas/obs,table,3,.txt,1,0,SAS,1,0,3,1,1,"The metadata in the Dryad description box are extremely limited. Column headings, abbreviations and units are not explained in any of the three archived files. It was difficult to assess the completeness of the data because of missing metadata to interpret the archived files. It is possible to make sense of most of the data from reading the paper, but some aspects still require clarification. E.g. Why does productivity at generation 27 have decimal places? amax scores and d2 scores are not archived but can presumably be calculated from the archived data. Raw morphological data are archived but not the multivariate shape traits used in the analyses. Some data (eigenvectors and additive genetic variance covariance matrix) are archived as a pdf document in the supplementary material on the Evolution website."
19,Science,2012,-1,meas/obs,table,1,.csv,1,1,R,1,0,5,5,0,The readme file is clear and complete. All the data for the analyses are archived.
20,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xlsx,0,0,GenALEx; SPSS,1,0,3,1,1,"There is no readme file or description of the data in the appropriate box. Column headings, abbreviations and units are not specified/described. Missing data: individual-level data (birds > 40 songs) for T-test and Mann-Whitney U test (i.e., for results inTable 4: Song comparisons of southern and northern individuals). Raw data: none of the individual-level measures are presented. Song sampling information available as a table in a word doc in the supplementary material."
21,Journal of Evolutionary Biology,2012,1,meas/obs,table,2,.xls,0,0,R; not specified,1,0,2,3,0,There is very limited information provided in the Dryad description box. Dataframes are simple but details should include type and number of host species as well as number of flea species. Missing data: number of parent female fleas that took a blood meal during the 3-day uninterrupted stay on a host (necessary to verify the statement that inclusion or exclusion of unfed fleas did not change the results); phylogenetic distances for Fig. 3; computer readable version of the phylogenetic tree. 
22,Evolution,2012,0,meas/obs,table,1,.xlsx,0,1,not specified,NA,0,3,3,0,"Column headings units are are described in the Excel spreadsheet, but additional information on the data and sample size in each of the two sheets would have been very helpful to match the data with the experiments/analyses in the paper. This information is not contained in the readme file. Missing variables: mass of the mouse carcass, birth order, age of parents apparently controlled for in statistical analyses but not archived; survival not archived - Fig 1 [We also recorded the sex and  survival of beetles from hatching to eclosion (i.e., emergence of adults from pupae).]; the sample size reported in the paper (n=1672) does not match the archived data (sheet 1 = 1137, sheet 2 = 1231)."
23,The American Naturalist,2012,0,meas/obs,table,2,.xls,0,0,R; MatLab; not specified,1,0,2,1,0,"The metadata in the Dryad description box is very limited. Some column headings are not defined and some units are missing in both archived data sheets. Activity data on the spiders are included in the file ""Climate Data wo Costa Rican Species.xls"", which makes them hard to find. Missing variables: phylogenetic data for Fig 1, used in Table 2; data for individual prey capture efficiency? (difficult to assess because of incomplete metadata but seems to be missing); standard errors for the data in Fig 2; climate data for the Costa Rican species (no justification for why data are missing in the description box). Raw data: the authors collected and assayed a total of 1,113 spiders - these are data not shown (only means are presented). The analysis program is not specified for the multiple logistic regressions."
24,The American Naturalist,2012,0,meas/obs,table,1,.xls,0,0,Statistica; Bayesian PMM; R,1,0,2,3,0,"The data are clearly archived for all variables included in the analyses, with the exception of the tree used for the 'phylogenetically informed analyses'. Missing from the readme file: abbreviations in column headings are defined in the paper but cannot be interpreted from accessing only the archived data. The difference between Tmin (annual minimum) and T*min (minimum temperature of coldest month) is not clearly explained in the methods and not at all in the archived data file. The authors archived the results of the conventional analyses (i.e. not phylogenetically informed) for species’ mean values in table S2, available in a zip file as supplementary material. Citations of data and assumptions to build the model are provided in Table S1 (supplementary material). The study uses a phylogenetic tree published by Rezende et al. (2004) for the phylogenetically informed analyses. The data for this analysis (phylogeny from  Rezende et al paper in computer-readable format and 1000 resolutions of the phylogeny they produced) are not archived. Captions are not provided for figures S1 to S4. N.B. Fig S4 is referenced in Table S1, not in the main paper."
25,The American Naturalist,2012,0,meas/obs,table,1,.txt,1,0,R,1,0,2,3,0,"Data archived are the number of visits to small or large female pairs (presumably) for year 1 and year 2 (Fig 1A). The text in the Dryad description box does not specify what each row represents and what the response variable corresponds to (i.e. it is not size but number of visits). Data on relative sizes of pattern elements or wing dimensions (Fig 1C) are not archived. -> ""Morphological measurements on hind wings were conducted to explore variation associated with the categorical assignments of “small” and “large” females used in preference arrays. [...] Nine measurements were taken from the ventral surface of the hind wing [...]""."
26,Journal of Evolutionary Biology,2012,-1,meas/obs/gen,table,1,.xls,0,0,"JMP, SAS ",1,0,4,3,0,All the data necessary for the analyses are archived. The table is easy to understand. There is no readme file describing the column headings and units. It is necessary to read the paper to make sense of the table.
27,Evolution,2012,0,meas/obs,table,2,.xls,0,1,R,1,0,3,4,0,"There is an excellent readme file with data organized by analysis (A1 or A2) and all column headings explained in the format 'header:explanation'. N.B. Two explanations are missing for file A2.xls. All the data are archived except for data associated with the clade-level phylogeny of the seven independent brood parasitic lineages and their nonparasitic sister lineages (Fig 1) to control for phylogenetic nonindependence. The phylogeny is fairly simple, so one could realistically re-do it from the figure. However, while the analysis they report (with branch lengths set to 1.0) is replicable, the other part (where they set branch lengths randomly) isn't, because they don't provide the trees with random branch lengths that they generated. "
28,Evolution,2012,0,meas/obs,table,2,.csv,1,1,"SPSS, SAS, PASW statistics",1,0,5,5,0,The readme file is excellent. All column headings are carefully described and variables arranged by experiment or analysis. All the necessary data to reproduce the analyses are archived.
29,Journal of Evolutionary Biology,2012,0,meas/obs/gen,table,1,.xlsx,0,0,"Not specified (no mention of statistical package for MANOVA on morphological characters), Arlequin, Structure, Fstat, ",NA,0,1,1,1,There is no readme file or description of the data in the box provided on the Dryad website. There is no information on the identity of the seals for which the data are archived and no description of column headings or of the values entered. Some columns are missing headings. Genetic data: it appears that 8 microsatellite loci are archived for only 31 of the 338 porpoises sampled. The excel file indicates 'Norwegian Harbor Porpoise' but there are no data for porpoise from Danish and British waters. Morphological data: the authors measured sixteen characters on 462 porpoise skulls. These data are not archived. Allele frequency and heterozygosity data for microsatellite DNA loci are included as a word table in the supplementary material.
30,Biology Letters,2012,1,meas/obs,table,2,.xlsx,0,1,GENSTAT,0,0,5,4,0,"There are two useful readme files describing each archived Excel file. The text describes the data in each tab of the first Excel file. There is a small typo (column number '3' is missing) but the data are easily understandable. All the data necessary to reproduce the analyses are archived. The data are not archived for the saccharin content of barley seeds and first leaves of germinated seedlings but the authors state that ""Saccharin was not detected in barley seed or in first leaves of germinated seedlings."", so values would be zero and there are no useful statistcal tests to perform."
31,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xlsx,0,1,"JMP, R, KAKUSAN , Treebase, r8s, Mesquite",1,0,2,1,0,The metadata are short but sufficient to make sense of the archived data. The column headings are explained in different locations in the Excel spreadsheet. Archived data are identical to the information presented in Table 1 of the manuscript (i.e. means for populations). Raw data: DNA sequences are deposited in Genbank and accession numbers are given. The data used to control for phylogeny are not archived (i.e. data for Fig. 3). There is no computer-readable format of the phylogeny. 
32,The American Naturalist,2012,0,meas/obs/gen,table/nexus file,1,.doc,0,1,"SPSS, MlwiN, Mesquite",1,0,3,2,0,"Most data necessary to reproduce the analyses are archived as a Word table. The format is not ideal but the data can easily be copied into another data handling program. Data are not archived/presented to assess whether ""Restricting the analyses to include only hormone concentrations from within the breeding season did not change our results in any significant way.""  Also not archived: factor “yes/no separation of androgens” - The authors state""to account for its effect on androgen concentrations, we entered this factor into all conventional regression analyses (see below) on testosterone."" The phylogenies are deposited in TreeBASE as a Nexus file (http://treebase.org/treebase-web/search/study/summary.html?id=12782) and presented graphically as pdf docs in the supplementary material. It's hard to know exactly what the authors mean by 'standardized phylogenetically independent contrasts', since there are different ways of doing the standardisation. But it's possible that in Mesquite there is only a single option for this kind of analysis."
33,The American Naturalist,2012,0,meas/obs,table,5,.csv,1,0,"MATLAB, R",1,0,4,4,0,"The readme files are good but some column headings are not defined (there is a note referring the reader to the paper). There is one readme file per archived .csv file. All the data are archived but not the matrices used directly in the analyses (these can be obtained from the archived data). Missing dataframes used in the analyses: 1) matrices of geographical distances calculated from GPS coordinates of nests (lat and long measurements are available but not the matrix used in the analyses); 2) Euclidean distances among x, y, and z coordinates of eggs in avian color space, as well as each of the five pattern traits (""distribution of host and parasite egg colors in tetrahedral avian color space was assessed by standardizing single-cone catch values for each egg and converting converting them into coordinates in avian color space""). Spatial data for color and spatial data for pattern are only provided for the host and not the parasite - this is correct (and indicated in the readme files) but not obvious from reading the methods and results."
34,Journal of Evolutionary Biology,2012,-1,meas/obs,table,2,.xls,0,0,not specified,NA,0,4,3,0,"The metadata (text in Dryad description box) are limited. The column headings are self explanatory but units of length and weight are not indicated (but can be obtained from reading the manuscript). All the data are archived, including some useful data not included in the analyses."
35,Evolution,2012,0,meas/obs,table,2,.csv,1,0,NA,NA,0,2,4,0,"The metadata (text in Dryad description box) are very limited. The column headings are not explained (e.g. clarity, TAI, Obs.1, Obs.2) and the units are not indicated in several instances (e.g., length measurements, clarity). Data on sperm morphology and fertilization success are archived, including raw data to calculate means. However, data on sperm morphology and fertilization success are archived separately without explicit information on how to relate them. Male ID is included in both datasets but differs between the two (probably a typo: the number 1 is missing for males A-Z in Galeolaria.fertilization.success.csv).  Data on adult body size and number of eggs produced are not archived (used in the analysis 'Relationships between adult and sperm phenotypes')."
36,Biology Letters,2012,0,meas/obs/gen,"table, tree",2,".nex, .csv",1,1,R,1,0,5,5,0,"The readme files are excellent. Column headings (fields) and abbreviations are clearly explained in a .csv document and details are provided on the phylogenetic tree (archived as nexus file). Data are archived for the 44 species examined (one row per species), which are the data necessary to replicate the analyses. Data are at the level of the species, calculated from means per individual in a species (explained in readme file and methods) but are highly reusable. The phylogenetic tree is archived as a nexus file. Variables used directly in the analyses are also archived (i.e. principal components for song variation and complexity). The raw data are not archived: the study analyzed 5 songs per bird for 429 individuals and 19 bioclimatic variables used in a discriminant analysis but the archived data are highly reusable."
37,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xlsx,0,0,R,1,0,4,3,0,"The metadat are very limited and there is no explanation of column headings although they can be understood from reading the paper. All the data necessary to reproduce the analyses are archived (over 4000 replicate vials). Some raw data are not archived: ""The number, genotype and species of surviving adults were then recorded on days 11 and 15 after the initial set-up."" - only one of these timelines is archived."
38,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xls,0,1,R,1,0,5,3,1,"There is an excellent, detailed readme file. The column headings are clearly explained. All the data necessary to reproduce the analyses are properly archived. Raw data not archived: seasonality data from 2001-2008. Summary information on geographical locations and season lengths are archived as a Word table in the supplementary material."
39,Evolution,2012,0,meas/obs,table,3,".pdf, .docx, .xlsx",0,0,R,1,0,4,3,0,There is a limited description of the archived data in the box provided on the Dryad website. Column headings are not defined but the data are understandable from reading the paper. Data for the statistical analyses (Fisher's exact test; no successes vs. no failures) are not provided but can be calculated from archived percentages and sample sizes. Data for neighbor joining tree of behavioral chord distances between fly populations (Fig. 3) are not archived but can presumably be calculated from data archived in Table S2. Data were archived on Dryad and as supplementary material. Table S1 is archived as a Word document and the format of table S2 in Excel does not facilitate reuse.
40,Journal of Evolutionary Biology,2012,1,meas/obs,table,1,.txt,1,1,SAS,1,0,3,5,0,The column headings are clearly explained in the readme file. Small omissions: data are not archived to show that 1) body mass of focal nestlings was larger than that of nestmates and 2) variation in begging behaviour between the two trials is not due to age or repeated testing effects (tested by re-analysing the data set of a previous experiment).
